"event","experiment time","system time","system time text"
"START",0.000000000E0,1736508841.959,"2025-01-10 12:34:01.959 UTC+01:00"
"PAUSE",1.390623165E2,1736508981.021,"2025-01-10 12:36:21.021 UTC+01:00"
