"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-2.849582356E-2,2.902845577E-2,1.571265037E-2
1.000000000E-1,-1.065264432E-2,2.277002723E-2,1.824265340E-2
2.000000000E-1,-1.504686010E-2,2.330265945E-2,1.651159870E-2
3.000000000E-1,-2.836266550E-2,2.609897858E-2,2.436792388E-2
4.000000000E-1,-3.608583263E-2,2.503371415E-2,1.677791480E-2
5.000000000E-1,-4.021373231E-2,2.436792388E-2,1.984055005E-2
6.000000000E-1,-3.928162593E-2,2.956108799E-2,2.649845275E-2
7.000000000E-1,-5.566006657E-2,3.262372323E-2,1.371527956E-2
8.000000000E-1,-5.965480819E-2,1.970739199E-2,1.771002118E-2
9.000000000E-1,-8.508799651E-2,3.275688128E-2,1.677791480E-2
1.000000000E0,-7.536745856E-2,2.223739502E-2,1.584580843E-2
1.100000000E0,-3.901530982E-2,2.436792388E-2,1.970739199E-2
1.200000000E0,-2.743055912E-2,2.157160475E-2,1.065264432E-2
1.300000000E0,-1.106543429E-1,2.423476583E-2,1.837581145E-2
1.400000000E0,-1.142496103E-1,2.237055307E-2,1.531317621E-2
1.500000000E0,-2.143844669E-2,2.796319134E-2,1.744370507E-2
1.600000000E0,2.436792388E-2,2.596582053E-2,2.050634032E-2
1.700000000E0,2.130528864E-3,2.370213361E-2,1.611212453E-2
1.800000000E0,-9.014800256E-2,2.636529469E-2,1.544633426E-2
1.900000000E0,-1.035969660E-1,2.330265945E-2,1.611212453E-2
2.000000000E0,-1.008006469E-1,2.516687221E-2,2.010686615E-2
2.100000000E0,-7.310377165E-2,2.476739804E-2,1.518001816E-2
2.200000000E0,-4.261057728E-3,2.556634637E-2,1.890844367E-2
2.300000000E0,-1.944107588E-2,3.448793599E-2,1.438106983E-2
2.400000000E0,-6.498113035E-2,2.609897858E-2,1.771002118E-2
2.500000000E0,-5.060006052E-2,3.462109404E-2,1.877528561E-2
2.600000000E0,-4.127899674E-2,2.436792388E-2,1.904160172E-2
2.700000000E0,-1.327585798E-1,2.450108194E-2,1.584580843E-2
2.800000000E0,-8.069378072E-2,5.779059544E-2,1.651159870E-2
2.900000000E0,-9.587379888E-3,1.012001210E-2,1.584580843E-2
3.000000000E0,3.728425512E-3,3.715109707E-2,1.318264735E-2
3.100000000E0,-7.989483240E-4,2.929477188E-2,1.131843459E-2
3.200000000E0,6.271744343E-2,-5.858954376E-3,1.731054702E-2
3.300000000E0,2.343581750E-2,2.822950745E-2,1.464738594E-2
3.400000000E0,-1.304948929E-2,3.289003934E-2,1.544633426E-2
3.500000000E0,-4.593952863E-2,-7.456851024E-3,2.210423696E-2
3.600000000E0,4.807005749E-2,3.342267155E-2,1.438106983E-2
3.700000000E0,-1.464738594E-2,4.727110917E-2,2.383529167E-2
3.800000000E0,1.478054399E-2,1.331580540E-4,2.450108194E-2
3.900000000E0,5.459480214E-2,1.864212756E-2,1.757686313E-2
4.000000000E0,-8.562062872E-2,2.822950745E-2,1.984055005E-2
4.100000000E0,-1.315601574E-1,4.247741923E-2,1.864212756E-2
4.200000000E0,-1.131843459E-2,3.488741015E-2,2.476739804E-2
4.300000000E0,-6.338323370E-2,2.836266550E-2,1.504686010E-2
4.400000000E0,-1.090564462E-1,5.459480214E-2,9.454221834E-3
4.500000000E0,-1.569933457E-1,1.105211848E-2,2.756371718E-2
4.600000000E0,-2.348908073E-1,7.403587802E-2,1.637844064E-2
4.700000000E0,-3.249056518E-1,1.478054399E-2,1.664475675E-2
4.800000000E0,-4.161189188E-1,4.394215782E-3,2.303634334E-2
4.900000000E0,-5.119927176E-1,5.060006052E-3,1.850896951E-2
5.000000000E0,-5.893575470E-1,3.195793296E-2,2.117213059E-2
5.100000000E0,-6.456834038E-1,1.464738594E-2,1.331580540E-2
5.200000000E0,-6.720486985E-1,1.744370507E-2,1.518001816E-2
5.300000000E0,-6.703176438E-1,5.672533100E-2,1.025317016E-2
5.400000000E0,-6.322344404E-1,3.848267761E-2,2.157160475E-2
5.500000000E0,-5.865612279E-1,2.303634334E-2,1.411475372E-2
5.600000000E0,-5.131911401E-1,-1.318264735E-2,2.277002723E-2
5.700000000E0,-4.111920708E-1,1.065264432E-2,1.464738594E-2
5.800000000E0,-3.178482749E-1,2.436792388E-2,3.528688431E-2
5.900000000E0,-2.526008284E-1,2.743055912E-2,8.122641294E-3
6.000000000E0,-1.492701785E-1,1.145159264E-2,1.784317924E-2
6.100000000E0,-9.400958612E-2,4.261057728E-3,2.330265945E-2
6.200000000E0,-5.339637965E-2,2.716424302E-2,1.278317318E-2
6.300000000E0,-2.849582356E-2,4.261057728E-2,1.917475978E-2
6.400000000E0,-3.142530074E-2,5.832322765E-2,1.411475372E-2
6.500000000E0,-3.062635242E-2,2.050634032E-2,1.504686010E-2
6.600000000E0,-7.669903910E-2,2.769687523E-2,1.917475978E-2
6.700000000E0,-1.330248959E-1,1.930791783E-2,1.398159567E-2
6.800000000E0,-2.006691874E-1,4.793689944E-3,1.877528561E-2
6.900000000E0,-2.793655973E-1,9.587379888E-3,1.731054702E-2
7.000000000E0,-3.804325603E-1,3.075951047E-2,1.091896043E-2
7.100000000E0,-4.604605507E-1,3.009372020E-2,1.664475675E-2
7.200000000E0,-5.331648482E-1,1.091896043E-2,2.024002421E-2
7.300000000E0,-6.253102216E-1,3.581951653E-2,1.624528259E-2
7.400000000E0,-6.538060451E-1,3.155845880E-2,1.318264735E-2
7.500000000E0,-6.812366043E-1,2.729740107E-2,1.544633426E-2
7.600000000E0,-6.487460391E-1,3.994741620E-3,1.171790875E-2
7.700000000E0,-6.145244192E-1,2.703108496E-2,1.371527956E-2
7.800000000E0,-5.572664560E-1,8.934905423E-2,1.544633426E-2
7.900000000E0,-4.604605507E-1,5.992112430E-3,2.330265945E-2
8.000000000E0,-3.812315086E-1,3.235740712E-2,2.530003026E-3
8.100000000E0,-2.985403571E-1,3.275688128E-2,1.571265037E-2
8.200000000E0,-2.195776310E-1,4.074636452E-2,8.788431564E-3
8.300000000E0,-1.466070175E-1,8.615326094E-2,1.185106681E-2
8.400000000E0,-8.016114851E-2,2.836266550E-2,1.784317924E-2
8.500000000E0,-4.008057425E-2,2.902845577E-2,1.038632821E-2
8.600000000E0,-2.583266248E-2,2.676476885E-2,1.944107588E-2
8.700000000E0,-1.637844064E-2,-1.198422486E-3,1.677791480E-2
8.800000000E0,-6.498113035E-2,5.086637663E-2,2.037318226E-2
8.900000000E0,-9.507485056E-2,2.024002421E-2,2.157160475E-2
9.000000000E0,-1.651159870E-1,3.289003934E-2,1.757686313E-2
9.100000000E0,-2.370213361E-1,1.557949232E-2,1.371527956E-2
9.200000000E0,-3.318298706E-1,3.435477793E-2,1.105211848E-2
9.300000000E0,-4.154531285E-1,2.569950442E-2,1.611212453E-2
