"event","experiment time","system time","system time text"
"START",0.000000000E0,1736509483.010,"2025-01-10 12:44:43.010 UTC+01:00"
"PAUSE",5.061245715E1,1736509533.622,"2025-01-10 12:45:33.622 UTC+01:00"
