"run","avg_rotational_period_disc","rp_error","precession_time_x","precession_time_error_x","T_precession","delta_T_precession"
1,0.284,0.03,19.6355292150581,11.8671362818709,19.671228166206,13.063950658335
2,0.492,0.03,12.3663782644311,4.52286921465311,11.3549365837449,4.35813747849667
3,0.2,0.03,53.563128550664,17.5722016073181,47.260622417496,44.6015114701546
4,0.392,0.03,28.9728944075336,16.375119185688,24.1125624579061,11.6539829246629
5,0.484,0.03,26.5677027068432,19.0916153909888,19.5291828171471,7.66494443014813
6,0.15,0.03,32.3112194911619,11.7168205941855,37.2441919946834,46.8102605529478
