"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
7.600000000E0,-4.042678519E-1,3.022687826E-2,1.358212151E-2
7.700000000E0,-3.866909888E-1,3.435477793E-2,9.853695996E-3
7.800000000E0,-3.743072898E-1,5.286374744E-2,7.057376862E-3
7.900000000E0,-3.523362109E-1,2.822950745E-2,5.060006052E-3
8.000000000E0,-3.423493568E-1,1.850896951E-2,5.992112430E-3
8.100000000E0,-3.440804115E-1,1.304948929E-2,1.557949232E-2
8.200000000E0,-3.466104146E-1,-3.595267458E-3,1.904160172E-2
8.300000000E0,-3.660514904E-1,2.703108496E-2,1.491370205E-2
8.400000000E0,-3.745736059E-1,1.597896648E-3,1.757686313E-2
8.500000000E0,-4.042678519E-1,2.796319134E-2,1.198422486E-2
8.600000000E0,-4.310326208E-1,2.703108496E-2,5.592638268E-3
8.700000000E0,-4.649879246E-1,2.383529167E-2,1.371527956E-2
8.800000000E0,-4.949484867E-1,3.182477491E-2,9.454221834E-3
8.900000000E0,-5.368932737E-1,2.676476885E-2,8.388957402E-3
9.000000000E0,-5.769738480E-1,2.010686615E-2,3.062635242E-3
9.100000000E0,-6.182528447E-1,2.516687221E-2,-4.394215782E-3
9.200000000E0,-6.451507716E-1,3.049319437E-2,2.796319134E-3
9.300000000E0,-6.849650298E-1,2.663161080E-2,6.391586592E-3
9.400000000E0,-7.209177044E-1,3.661846485E-2,1.225054097E-2
9.500000000E0,-7.394266739E-1,3.581951653E-2,2.396844972E-3
9.600000000E0,-7.691209199E-1,2.277002723E-2,5.992112430E-3
9.700000000E0,-7.821704092E-1,4.034689036E-2,1.997370810E-3
9.800000000E0,-7.952198985E-1,4.434163198E-2,-8.655273510E-3
9.900000000E0,-7.717840810E-1,2.796319134E-2,1.012001210E-2
1.000000000E1,-7.546066920E-1,3.315635545E-2,1.331580540E-2
1.010000000E1,-7.333014034E-1,2.862898161E-2,7.456851024E-3
1.020000000E1,-7.110640084E-1,3.009372020E-2,1.584580843E-2
1.030000000E1,-6.869624006E-1,2.396844972E-2,3.728425512E-3
1.040000000E1,-6.427539267E-1,2.996056215E-2,6.657902700E-3
1.050000000E1,-6.037386168E-1,2.716424302E-2,8.522115456E-3
1.060000000E1,-5.531385563E-1,6.205165316E-2,7.856325186E-3
1.070000000E1,-5.218464136E-1,3.515372626E-2,4.527373836E-3
1.080000000E1,-4.814995233E-1,2.223739502E-2,8.655273510E-3
1.090000000E1,-4.478105356E-1,1.544633426E-2,1.344896345E-2
1.100000000E1,-4.195810282E-1,3.249056518E-2,1.025317016E-2
1.110000000E1,-4.022704811E-1,3.195793296E-2,1.065264432E-2
1.120000000E1,-3.767041348E-1,3.581951653E-2,1.265001513E-2
1.130000000E1,-3.664509646E-1,3.022687826E-2,1.051948627E-2
1.140000000E1,-3.475425209E-1,3.062635242E-2,1.544633426E-2
1.150000000E1,-3.464772565E-1,4.261057728E-3,1.424791178E-2
1.160000000E1,-3.447462018E-1,2.902845577E-2,1.371527956E-2
1.170000000E1,-3.563309525E-1,2.716424302E-2,1.158475070E-2
1.180000000E1,-3.608583263E-1,3.142530074E-2,1.518001816E-2
