"event","experiment time","system time","system time text"
"START",0.000000000E0,1736508277.260,"2025-01-10 12:24:37.260 UTC+01:00"
"PAUSE",6.869166086E1,1736508345.952,"2025-01-10 12:25:45.952 UTC+01:00"
