"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-3.701793901E-2,2.743055912E-2,1.624528259E-2
1.000000000E-1,-8.695220926E-2,2.530003026E-2,1.265001513E-2
2.000000000E-1,-8.815063175E-2,2.170476280E-2,1.651159870E-2
3.000000000E-1,-3.555320042E-2,2.876213966E-2,1.398159567E-2
4.000000000E-1,1.198422486E-3,2.689792691E-2,1.957423394E-2
5.000000000E-1,5.872270181E-2,2.183792086E-2,2.010686615E-2
6.000000000E-1,9.108010894E-2,2.330265945E-2,1.944107588E-2
7.000000000E-1,1.004011727E-1,2.663161080E-2,1.917475978E-2
8.000000000E-1,1.318264735E-2,2.583266248E-2,2.117213059E-2
9.000000000E-1,-8.761799953E-2,1.917475978E-2,2.210423696E-2
1.000000000E0,-9.241168948E-2,2.849582356E-2,1.571265037E-2
1.100000000E0,-7.536745856E-2,2.356897556E-2,1.717738897E-2
1.200000000E0,-1.062601271E-1,2.050634032E-2,1.571265037E-2
1.300000000E0,-7.909588408E-2,1.677791480E-2,1.624528259E-2
1.400000000E0,-3.728425512E-3,2.769687523E-2,1.025317016E-2
1.500000000E0,1.717738897E-2,1.864212756E-2,2.769687523E-2
1.600000000E0,1.970739199E-2,3.701793901E-2,7.989483240E-3
1.700000000E0,-4.048004842E-2,4.367584171E-2,2.450108194E-2
1.800000000E0,-5.379585382E-2,1.438106983E-2,2.543318831E-2
1.900000000E0,5.858954376E-3,2.277002723E-2,1.797633729E-2
2.000000000E0,-5.845638571E-2,4.034689036E-2,1.824265340E-2
2.100000000E0,-1.643170386E-1,3.941478398E-2,1.930791783E-2
2.200000000E0,3.821636150E-2,2.316950140E-2,2.090581448E-2
2.300000000E0,6.005428235E-2,3.755057123E-2,1.251685708E-2
2.400000000E0,-6.657902700E-3,4.727110917E-2,1.478054399E-2
2.500000000E0,-2.862898161E-2,1.957423394E-2,2.157160475E-2
2.600000000E0,-2.482066127E-1,-3.675162290E-2,-2.942792993E-2
2.700000000E0,9.227853142E-2,4.780374139E-2,1.398159567E-2
2.800000000E0,-1.717738897E-2,2.130528864E-2,1.331580540E-2
2.900000000E0,-7.430219413E-2,-1.597896648E-3,2.303634334E-2
3.000000000E0,-4.261057728E-2,6.458165619E-2,2.516687221E-2
3.100000000E0,1.394164825E-1,3.408846182E-2,3.355582961E-2
3.200000000E0,1.788312665E-1,-2.370213361E-2,-1.065264432E-3
3.300000000E0,1.038632821E-2,7.590009078E-2,1.877528561E-2
3.400000000E0,-2.507366157E-1,4.114583869E-2,1.491370205E-2
3.500000000E0,-7.310377165E-2,2.796319134E-2,2.396844972E-3
3.600000000E0,1.178448778E-1,1.784317924E-2,2.063949837E-2
3.700000000E0,1.974733941E-1,1.877528561E-2,2.530003026E-2
3.800000000E0,8.388957402E-3,-6.072007262E-2,1.637844064E-2
3.900000000E0,-4.953479609E-2,1.304948929E-2,1.957423394E-2
4.000000000E0,2.956108799E-2,6.138586289E-2,3.169161685E-2
4.100000000E0,-1.557949232E-2,-3.408846182E-2,1.464738594E-2
4.200000000E0,-1.326254218E-1,2.929477188E-2,5.326322160E-3
4.300000000E0,-2.579271506E-1,3.781688734E-2,1.331580540E-2
4.400000000E0,-3.444798857E-1,2.569950442E-2,1.797633729E-2
4.500000000E0,-4.103931224E-1,1.837581145E-2,5.193164106E-3
4.600000000E0,-3.925499432E-1,5.858954376E-3,1.065264432E-2
4.700000000E0,-3.524693689E-1,4.527373836E-2,7.723167132E-3
4.800000000E0,-2.435460808E-1,1.119859234E-1,1.531317621E-2
4.900000000E0,-1.483380722E-1,-1.198422486E-3,1.078580237E-2
5.000000000E0,-1.251685708E-2,9.187905726E-3,2.263686918E-2
5.100000000E0,4.460794809E-2,7.190534916E-3,2.237055307E-2
5.200000000E0,3.621899069E-2,2.796319134E-3,2.809634939E-2
5.300000000E0,-1.238369902E-2,-5.219795717E-2,1.344896345E-2
5.400000000E0,-9.414274418E-2,2.889529772E-2,1.597896648E-2
5.500000000E0,-2.197107891E-1,1.038632821E-2,1.025317016E-2
5.600000000E0,-3.219761746E-1,8.255799348E-3,7.456851024E-3
5.700000000E0,-3.745736059E-1,1.864212756E-3,8.921589618E-3
5.800000000E0,-3.950799462E-1,7.456851024E-3,3.062635242E-3
5.900000000E0,-3.624562230E-1,5.166532495E-2,9.986854050E-3
6.000000000E0,-2.693787432E-1,1.225054097E-2,7.456851024E-3
6.100000000E0,-1.597896648E-1,4.127899674E-2,1.358212151E-2
6.200000000E0,-4.713795112E-2,-2.316950140E-2,1.597896648E-2
6.300000000E0,-1.065264432E-3,5.273058938E-2,1.464738594E-2
6.400000000E0,1.531317621E-2,-2.862898161E-2,7.989483240E-3
6.500000000E0,2.676476885E-2,-4.940163803E-2,2.623213664E-2
6.600000000E0,-1.002680147E-1,2.769687523E-2,1.051948627E-2
6.700000000E0,-1.882854884E-1,1.917475978E-2,5.326322160E-3
6.800000000E0,-3.183809071E-1,1.085238140E-1,1.491370205E-2
6.900000000E0,-3.737746576E-1,3.528688431E-2,5.193164106E-3
7.000000000E0,-4.074636452E-1,7.736482937E-2,2.796319134E-3
7.100000000E0,-3.669835968E-1,2.809634939E-2,2.663161080E-3
7.200000000E0,-3.095924756E-1,5.352953771E-2,1.171790875E-2
7.300000000E0,-1.936118105E-1,2.157160475E-2,1.185106681E-2
7.400000000E0,-1.021322274E-1,5.699164711E-2,1.344896345E-2
7.500000000E0,-4.527373836E-3,-2.010686615E-2,1.837581145E-2
7.600000000E0,6.364954981E-2,3.408846182E-2,2.356897556E-2
7.700000000E0,8.122641294E-3,1.051948627E-2,2.876213966E-2
7.800000000E0,-7.390271997E-2,2.530003026E-2,6.924218808E-3
7.900000000E0,-1.620533517E-1,8.761799953E-2,1.438106983E-2
8.000000000E0,-2.672482144E-1,4.354268366E-2,9.587379888E-3
8.100000000E0,-3.185140652E-1,4.247741923E-2,1.371527956E-2
8.200000000E0,-3.906857304E-1,-5.858954376E-3,3.595267458E-3
8.300000000E0,-3.567304267E-1,4.314320950E-2,7.989483240E-3
8.400000000E0,-3.111903722E-1,4.394215782E-2,1.038632821E-2
8.500000000E0,-2.390187069E-1,1.226385677E-1,-1.731054702E-3
8.600000000E0,-1.225054097E-1,-6.391586592E-2,1.171790875E-2
8.700000000E0,-4.287689339E-2,5.712480517E-2,1.478054399E-2
8.800000000E0,1.065264432E-2,9.960222439E-2,1.091896043E-2
