"event","experiment time","system time","system time text"
"START",0.000000000E0,1736509204.328,"2025-01-10 12:40:04.328 UTC+01:00"
"PAUSE",7.849119965E1,1736509282.819,"2025-01-10 12:41:22.819 UTC+01:00"
