"event","experiment time","system time","system time text"
"START",0.000000000E0,1736509705.037,"2025-01-10 12:48:25.037 UTC+01:00"
"PAUSE",1.120363027E2,1736509817.073,"2025-01-10 12:50:17.073 UTC+01:00"
