"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-8.522115456E-3,2.676476885E-2,1.624528259E-2
1.000000000E-1,-1.331580540E-2,2.636529469E-2,1.771002118E-2
2.000000000E-1,-2.596582053E-2,2.290318529E-2,1.544633426E-2
3.000000000E-1,-2.849582356E-2,2.117213059E-2,2.197107891E-2
4.000000000E-1,-2.902845577E-2,2.836266550E-2,8.921589618E-3
5.000000000E-1,-2.649845275E-2,3.328951350E-2,1.078580237E-2
6.000000000E-1,-1.038632821E-2,2.689792691E-2,1.837581145E-2
7.000000000E-1,-1.731054702E-3,2.876213966E-2,2.050634032E-2
8.000000000E-1,-9.321063780E-3,2.197107891E-2,1.677791480E-2
9.000000000E-1,-2.356897556E-2,2.183792086E-2,1.611212453E-2
1.000000000E0,-3.195793296E-3,3.528688431E-2,1.970739199E-2
1.100000000E0,-6.258428538E-3,1.904160172E-2,1.957423394E-2
1.200000000E0,-4.447479004E-2,1.970739199E-2,7.456851024E-3
1.300000000E0,-4.048004842E-2,2.876213966E-2,1.877528561E-2
1.400000000E0,-1.957423394E-2,2.583266248E-2,2.024002421E-2
1.500000000E0,-2.423476583E-2,2.370213361E-2,2.063949837E-2
1.600000000E0,-2.769687523E-2,2.663161080E-2,1.944107588E-2
1.700000000E0,2.130528864E-3,2.010686615E-2,1.944107588E-2
1.800000000E0,-1.864212756E-3,3.209109101E-2,1.717738897E-2
1.900000000E0,-1.304948929E-2,2.889529772E-2,1.890844367E-2
2.000000000E0,-3.661846485E-2,2.170476280E-2,1.584580843E-2
2.100000000E0,-3.648530680E-2,2.476739804E-2,1.864212756E-2
2.200000000E0,-2.849582356E-2,2.356897556E-2,1.837581145E-2
2.300000000E0,-8.921589618E-3,2.463423999E-2,1.930791783E-2
2.400000000E0,-7.989483240E-3,2.609897858E-2,1.691107286E-2
2.500000000E0,-1.877528561E-2,2.756371718E-2,1.810949534E-2
2.600000000E0,-3.422161988E-2,2.303634334E-2,2.130528864E-2
2.700000000E0,-1.864212756E-2,2.969424604E-2,1.837581145E-2
2.800000000E0,1.171790875E-2,2.143844669E-2,2.117213059E-2
2.900000000E0,2.769687523E-2,2.197107891E-2,1.810949534E-2
3.000000000E0,-1.771002118E-2,2.343581750E-2,1.478054399E-2
3.100000000E0,-5.592638268E-2,2.290318529E-2,1.331580540E-2
3.200000000E0,-5.179848301E-2,2.303634334E-2,1.877528561E-2
