"event","experiment time","system time","system time text"
"START",0.000000000E0,1736508567.035,"2025-01-10 12:29:27.035 UTC+01:00"
"PAUSE",5.774498789E1,1736508624.780,"2025-01-10 12:30:24.780 UTC+01:00"
