"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
0.000000000E0,-1.438106983E-2,2.556634637E-2,1.624528259E-2
1.000000000E-1,1.997370810E-3,3.049319437E-2,1.957423394E-2
2.000000000E-1,4.793689944E-3,2.290318529E-2,1.624528259E-2
3.000000000E-1,-6.524744646E-3,2.210423696E-2,2.103897253E-2
4.000000000E-1,-7.590009078E-3,2.103897253E-2,2.143844669E-2
5.000000000E-1,-3.755057123E-2,2.157160475E-2,1.291633124E-2
6.000000000E-1,-7.496798440E-2,1.557949232E-2,1.491370205E-2
7.000000000E-1,-1.102548687E-1,2.303634334E-2,1.651159870E-2
8.000000000E-1,-1.564607134E-1,2.583266248E-2,2.330265945E-2
9.000000000E-1,-1.383512181E-1,1.278317318E-2,1.544633426E-2
1.000000000E0,-2.231728985E-1,2.569950442E-2,1.411475372E-2
1.100000000E0,-1.774996860E-1,1.624528259E-2,1.238369902E-2
1.200000000E0,-1.419464856E-1,2.250371113E-2,1.691107286E-2
1.300000000E0,-1.394164825E-1,1.890844367E-2,1.091896043E-2
1.400000000E0,-1.418133275E-1,3.994741620E-2,3.009372020E-2
1.500000000E0,-1.251685708E-1,3.275688128E-2,1.637844064E-2
1.600000000E0,-5.965480819E-2,1.051948627E-2,1.225054097E-2
1.700000000E0,-4.540689641E-2,2.503371415E-2,1.531317621E-2
1.800000000E0,1.358212151E-2,3.621899069E-2,1.651159870E-2
1.900000000E0,6.005428235E-2,2.010686615E-2,2.050634032E-2
2.000000000E0,1.268996255E-1,1.464738594E-2,2.343581750E-2
2.100000000E0,1.416801695E-1,4.420847393E-2,2.343581750E-2
2.200000000E0,1.017327533E-1,4.141215479E-2,2.410160777E-2
2.300000000E0,6.058691457E-2,3.502056820E-2,1.850896951E-2
2.400000000E0,-5.725796322E-3,2.370213361E-2,1.664475675E-2
2.500000000E0,-7.550061662E-2,3.768372928E-2,1.038632821E-2
2.600000000E0,-1.261006771E-1,2.916161383E-2,1.451422789E-2
2.700000000E0,-1.720402058E-1,3.022687826E-2,1.424791178E-2
2.800000000E0,-1.776328440E-1,1.544633426E-2,1.304948929E-2
2.900000000E0,-1.996039229E-1,2.277002723E-2,1.584580843E-2
3.000000000E0,-1.283643641E-1,3.661846485E-2,1.118527654E-2
3.100000000E0,5.592638268E-3,1.304948929E-2,1.518001816E-2
3.200000000E0,4.993427025E-2,1.731054702E-2,1.238369902E-2
3.300000000E0,2.197107891E-2,2.250371113E-2,2.117213059E-2
3.400000000E0,-3.768372928E-2,2.050634032E-2,9.986854050E-3
3.500000000E0,2.543318831E-2,2.769687523E-2,1.731054702E-2
3.600000000E0,4.367584171E-2,1.025317016E-2,1.637844064E-2
3.700000000E0,-3.808320344E-2,3.209109101E-2,1.584580843E-2
3.800000000E0,-7.310377165E-2,2.077265642E-2,2.117213059E-2
3.900000000E0,-9.600695693E-2,2.024002421E-2,1.731054702E-2
4.000000000E0,-8.921589618E-2,2.330265945E-2,1.797633729E-2
4.100000000E0,-2.450108194E-2,2.277002723E-2,1.438106983E-2
4.200000000E0,-1.145159264E-2,2.929477188E-3,2.250371113E-2
4.300000000E0,-1.720402058E-1,2.370213361E-2,-1.038632821E-2
4.400000000E0,2.929477188E-2,-9.507485056E-2,3.994741620E-3
4.500000000E0,5.691175228E-1,3.861583566E-3,7.629956494E-2
4.600000000E0,1.685780964E-1,1.146490845E-1,1.744370507E-2
4.700000000E0,-2.110555156E-1,8.269115153E-2,1.344896345E-2
4.800000000E0,-3.142530074E-1,1.557949232E-2,1.944107588E-2
4.900000000E0,-1.251685708E-2,-1.917475978E-2,2.809634939E-2
5.000000000E0,3.368898766E-2,3.342267155E-2,-1.331580540E-4
5.100000000E0,2.050634032E-2,1.384843762E-2,1.890844367E-2
5.200000000E0,-3.036003631E-2,5.046690247E-2,1.757686313E-2
5.300000000E0,-2.356897556E-2,1.784317924E-2,1.984055005E-2
5.400000000E0,1.744370507E-2,2.383529167E-2,1.637844064E-2
5.500000000E0,5.739112127E-2,3.462109404E-2,2.636529469E-2
5.600000000E0,6.857639781E-2,4.514058031E-2,1.384843762E-2
5.700000000E0,1.162469811E-1,9.054747672E-3,1.744370507E-2
5.800000000E0,1.511343913E-1,3.142530074E-2,-3.728425512E-3
5.900000000E0,2.046639290E-1,1.651159870E-2,3.182477491E-2
6.000000000E0,2.524676704E-1,3.129214269E-2,1.757686313E-2
6.100000000E0,3.042661534E-1,3.834951955E-2,5.992112430E-2
6.200000000E0,3.435477793E-1,3.049319437E-2,2.010686615E-2
6.300000000E0,3.802994022E-1,1.890844367E-2,2.769687523E-2
6.400000000E0,4.287689339E-1,3.635214874E-2,3.049319437E-2
6.500000000E0,4.411526329E-1,2.623213664E-2,2.583266248E-2
6.600000000E0,4.592621282E-1,3.528688431E-2,7.456851024E-3
6.700000000E0,4.723116175E-1,1.797633729E-2,2.303634334E-2
6.800000000E0,4.711131951E-1,2.556634637E-2,2.649845275E-2
6.900000000E0,4.543352802E-1,1.198422486E-2,3.568635847E-2
7.000000000E0,4.273041953E-1,2.836266550E-2,2.343581750E-2
7.100000000E0,3.806988764E-1,7.590009078E-3,1.464738594E-2
7.200000000E0,3.655188582E-1,2.822950745E-2,5.086637663E-2
7.300000000E0,2.954777218E-1,2.370213361E-2,-1.291633124E-2
7.400000000E0,2.663161080E-1,2.636529469E-2,4.074636452E-2
7.500000000E0,1.982723424E-1,2.237055307E-2,-3.169161685E-2
7.600000000E0,1.552622910E-1,1.597896648E-3,-2.170476280E-2
7.700000000E0,1.367533215E-1,5.179848301E-2,4.700479306E-2
7.800000000E0,9.321063780E-2,1.677791480E-2,5.286374744E-2
7.900000000E0,6.484797230E-2,3.115898464E-2,1.411475372E-2
8.000000000E0,4.713795112E-2,2.716424302E-2,1.198422486E-2
8.100000000E0,3.462109404E-3,2.183792086E-2,-3.155845880E-2
8.200000000E0,2.836266550E-2,4.181162896E-2,1.544633426E-2
8.300000000E0,2.436792388E-2,1.704423091E-2,4.008057425E-2
8.400000000E0,2.916161383E-2,2.450108194E-2,1.597896648E-2
8.500000000E0,5.392901187E-2,2.117213059E-2,2.037318226E-2
8.600000000E0,8.681905121E-2,2.117213059E-2,3.462109404E-2
8.700000000E0,1.085238140E-1,3.022687826E-2,-7.989483240E-3
8.800000000E0,1.466070175E-1,3.515372626E-2,1.185106681E-2
8.900000000E0,2.139849928E-1,2.383529167E-2,3.155845880E-2
9.000000000E0,2.318281720E-1,2.503371415E-2,3.994741620E-3
9.100000000E0,3.057308920E-1,4.687163501E-2,5.406216992E-2
9.200000000E0,3.358246122E-1,3.169161685E-2,1.118527654E-2
9.300000000E0,3.812315086E-1,3.182477491E-2,4.660531890E-2
9.400000000E0,3.958788945E-1,3.075951047E-2,-2.330265945E-2
9.500000000E0,4.259726147E-1,2.277002723E-2,3.195793296E-3
9.600000000E0,4.506068547E-1,2.183792086E-2,1.957423394E-2
9.700000000E0,4.581968638E-1,2.476739804E-2,2.530003026E-2
9.800000000E0,4.472779034E-1,2.916161383E-2,2.290318529E-2
9.900000000E0,4.343615721E-1,2.916161383E-2,2.450108194E-2
1.000000000E1,4.185157637E-1,2.636529469E-2,2.876213966E-2
1.010000000E1,3.868241469E-1,2.929477188E-2,2.703108496E-2
1.020000000E1,3.601925361E-1,4.700479306E-2,2.423476583E-2
1.030000000E1,3.057308920E-1,2.010686615E-2,1.291633124E-2
1.040000000E1,2.651176855E-1,2.969424604E-2,7.190534916E-3
1.050000000E1,2.059955095E-1,3.595267458E-2,5.992112430E-3
1.060000000E1,1.866875917E-1,3.914846788E-2,3.222424907E-2
1.070000000E1,1.263669932E-1,1.078580237E-2,1.531317621E-2
1.080000000E1,1.008006469E-1,1.957423394E-2,1.065264432E-2
1.090000000E1,6.990797835E-2,3.062635242E-2,1.997370810E-2
1.100000000E1,6.258428538E-2,2.490055610E-2,5.352953771E-2
1.110000000E1,3.049319437E-2,9.321063780E-4,6.924218808E-3
1.120000000E1,1.824265340E-2,3.368898766E-2,4.127899674E-3
1.130000000E1,2.024002421E-2,1.704423091E-2,1.824265340E-2
1.140000000E1,4.846953166E-2,1.810949534E-2,3.728425512E-2
1.150000000E1,6.724481727E-2,3.022687826E-2,1.664475675E-2
1.160000000E1,8.828378980E-2,1.411475372E-2,2.303634334E-2
1.170000000E1,1.320927896E-1,3.275688128E-2,2.942792993E-2
1.180000000E1,1.561943973E-1,2.942792993E-2,2.237055307E-2
1.190000000E1,1.961418135E-1,2.996056215E-2,1.518001816E-2
1.200000000E1,2.411492358E-1,3.182477491E-2,2.743055912E-2
1.210000000E1,2.797650715E-1,3.581951653E-2,2.663161080E-3
1.220000000E1,3.376888249E-1,3.502056820E-2,3.941478398E-2
1.230000000E1,3.822967730E-1,2.383529167E-2,4.820321555E-2
1.240000000E1,3.937483657E-1,3.808320344E-2,1.291633124E-2
1.250000000E1,4.178499735E-1,2.063949837E-2,2.303634334E-2
1.260000000E1,4.440821101E-1,2.982740410E-2,2.676476885E-2
1.270000000E1,4.559331769E-1,2.356897556E-2,2.902845577E-2
1.280000000E1,4.370247332E-1,2.982740410E-2,1.518001816E-2
1.290000000E1,4.315652530E-1,2.649845275E-2,1.597896648E-2
1.300000000E1,4.105262805E-1,1.557949232E-2,1.731054702E-2
1.310000000E1,3.841609858E-1,2.277002723E-2,2.396844972E-2
