"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
8.800000000E0,1.483380722E-1,-2.130528864E-3,2.077265642E-2
8.900000000E0,1.190433003E-1,3.262372323E-2,1.864212756E-2
9.000000000E0,1.015995952E-1,2.743055912E-2,2.024002421E-2
9.100000000E0,7.763114548E-2,5.020058636E-2,2.663161080E-2
9.200000000E0,5.459480214E-2,2.263686918E-2,1.384843762E-2
9.300000000E0,7.017429446E-2,-9.587379888E-3,2.689792691E-2
9.400000000E0,5.472796019E-2,3.115898464E-2,1.864212756E-2
9.500000000E0,6.271744343E-2,2.383529167E-2,1.504686010E-2
9.600000000E0,4.953479609E-2,8.602010288E-2,1.944107588E-2
9.700000000E0,1.328917379E-1,-2.316950140E-2,3.262372323E-2
9.800000000E0,1.075917076E-1,5.486111825E-2,1.930791783E-2
9.900000000E0,1.284975221E-1,3.089266853E-2,1.637844064E-2
1.000000000E1,1.416801695E-1,4.527373836E-2,2.343581750E-2
1.010000000E1,1.832254823E-1,5.592638268E-3,2.876213966E-2
1.020000000E1,1.420796436E-1,5.792375349E-2,1.185106681E-2
1.030000000E1,1.488707044E-1,4.207794506E-2,2.796319134E-2
1.040000000E1,1.223722516E-1,6.005428235E-2,2.037318226E-2
1.050000000E1,1.151817167E-1,2.103897253E-2,1.371527956E-2
1.060000000E1,4.647216085E-2,9.400958612E-2,9.054747672E-3
1.070000000E1,6.897587197E-2,2.769687523E-2,1.771002118E-2
1.080000000E1,5.845638571E-2,4.127899674E-2,2.050634032E-2
1.090000000E1,7.057376862E-2,-1.797633729E-2,1.384843762E-2
1.100000000E1,4.434163198E-2,7.057376862E-2,1.771002118E-2
1.110000000E1,2.476739804E-2,8.295746764E-2,2.583266248E-2
1.120000000E1,8.455536429E-2,-2.370213361E-2,2.183792086E-2
1.130000000E1,1.008006469E-1,1.038632821E-2,1.757686313E-2
1.140000000E1,1.307612090E-1,-1.105211848E-2,2.170476280E-2
1.150000000E1,1.331580540E-1,4.953479609E-2,2.303634334E-2
1.160000000E1,1.439438564E-1,5.459480214E-2,2.796319134E-2
1.170000000E1,1.988049746E-1,-3.262372323E-2,2.530003026E-2
1.180000000E1,1.567270296E-1,1.691107286E-2,1.917475978E-2
1.190000000E1,1.511343913E-1,-1.065264432E-2,1.824265340E-2
1.200000000E1,9.667274720E-2,1.223722516E-1,2.916161383E-2
1.210000000E1,1.115864493E-1,4.620584474E-2,2.516687221E-2
1.220000000E1,8.628641899E-2,1.944107588E-2,8.655273510E-3
1.230000000E1,8.495483845E-2,9.321063780E-4,1.877528561E-2
1.240000000E1,7.243798138E-2,1.930791783E-2,2.063949837E-2
1.250000000E1,6.032059846E-2,4.713795112E-2,1.611212453E-2
1.260000000E1,7.110640084E-2,5.699164711E-2,1.917475978E-2
1.270000000E1,6.218481122E-2,5.086637663E-2,1.318264735E-2
1.280000000E1,8.495483845E-2,2.596582053E-2,1.304948929E-2
1.290000000E1,7.909588408E-2,6.538060451E-2,1.358212151E-2
1.300000000E1,1.593901906E-1,-7.097324278E-2,2.237055307E-2
1.310000000E1,1.245027805E-1,5.326322160E-4,1.784317924E-2
1.320000000E1,1.354217409E-1,1.797633729E-2,9.986854050E-3
1.330000000E1,1.334243701E-1,1.174454036E-1,2.649845275E-2
1.340000000E1,1.422128017E-1,7.310377165E-2,1.518001816E-2
1.350000000E1,1.375522698E-1,2.423476583E-2,1.411475372E-2
1.360000000E1,1.376854278E-1,4.261057728E-3,2.010686615E-2
1.370000000E1,9.653958915E-2,4.993427025E-2,1.278317318E-2
1.380000000E1,8.748484148E-2,3.249056518E-2,2.197107891E-2
1.390000000E1,7.989483240E-2,8.402273207E-2,2.143844669E-2
1.400000000E1,8.056062267E-2,2.862898161E-2,2.130528864E-2
1.410000000E1,8.215851932E-2,4.980111220E-2,1.185106681E-2
1.420000000E1,7.643272300E-2,6.125270484E-3,1.344896345E-2
1.430000000E1,1.233043580E-1,-8.255799348E-2,2.490055610E-2
1.440000000E1,8.096009683E-2,8.335694180E-2,2.263686918E-2
1.450000000E1,1.087901301E-1,-4.394215782E-3,2.396844972E-2
1.460000000E1,5.273058938E-2,1.282312060E-1,1.105211848E-2
1.470000000E1,1.380849020E-1,-2.636529469E-2,2.103897253E-2
1.480000000E1,1.230380419E-1,3.342267155E-2,1.837581145E-2
1.490000000E1,1.295627865E-1,7.536745856E-2,1.944107588E-2
1.500000000E1,1.110538170E-1,8.309062570E-2,1.344896345E-2
1.510000000E1,1.268996255E-1,4.980111220E-2,1.717738897E-2
1.520000000E1,1.054611788E-1,5.060006052E-2,1.611212453E-2
1.530000000E1,1.245027805E-1,3.235740712E-2,1.890844367E-2
1.540000000E1,1.190433003E-1,-9.720537942E-3,1.984055005E-2
1.550000000E1,9.001484450E-2,6.831008170E-2,1.611212453E-2
1.560000000E1,1.014664371E-1,2.743055912E-2,2.623213664E-2
1.570000000E1,8.455536429E-2,9.534116666E-2,2.743055912E-2
1.580000000E1,1.326254218E-1,-4.673847695E-2,3.075951047E-2
1.590000000E1,9.081379283E-2,1.478054399E-2,2.157160475E-2
1.600000000E1,9.467537639E-2,2.503371415E-2,1.997370810E-2
1.610000000E1,9.427590223E-2,7.137271694E-2,2.729740107E-2
1.620000000E1,1.137169781E-1,4.221110312E-2,1.065264432E-2
1.630000000E1,1.320927896E-1,1.371527956E-2,1.797633729E-2
1.640000000E1,1.499359688E-1,-8.388957402E-3,1.890844367E-2
1.650000000E1,9.174589921E-2,1.035969660E-1,9.454221834E-3
1.660000000E1,1.692438866E-1,-8.522115456E-2,2.476739804E-2
1.670000000E1,1.300954188E-1,2.849582356E-2,2.090581448E-2
1.680000000E1,1.406149050E-1,-4.167847090E-2,1.664475675E-2
1.690000000E1,9.014800256E-2,1.114532912E-1,2.290318529E-2
1.700000000E1,1.343564765E-1,1.331580540E-2,2.237055307E-2
1.710000000E1,9.867011801E-2,5.020058636E-2,2.290318529E-2
1.720000000E1,1.130511878E-1,3.861583566E-3,2.663161080E-2
1.730000000E1,9.334379585E-2,2.583266248E-2,1.544633426E-2
1.740000000E1,7.962851629E-2,4.647216085E-2,1.837581145E-2
1.750000000E1,8.801747369E-2,5.605954073E-2,2.809634939E-2
1.760000000E1,1.462075433E-1,-5.965480819E-2,2.490055610E-2
1.770000000E1,1.029311757E-1,7.217166527E-2,2.010686615E-2
1.780000000E1,1.308943671E-1,-2.303634334E-2,3.528688431E-2
1.790000000E1,1.344896345E-1,9.321063780E-3,1.917475978E-2
1.800000000E1,1.355548990E-1,-5.858954376E-3,1.344896345E-2
1.810000000E1,1.946770749E-1,-6.231796927E-2,3.555320042E-2
1.820000000E1,1.233043580E-1,7.962851629E-2,1.464738594E-2
1.830000000E1,1.406149050E-1,3.368898766E-2,2.370213361E-2
1.840000000E1,1.406149050E-1,1.478054399E-2,1.904160172E-2
1.850000000E1,1.113201331E-1,4.633900279E-2,2.450108194E-2
1.860000000E1,1.067927593E-1,3.581951653E-2,1.970739199E-2
1.870000000E1,9.307747975E-2,4.314320950E-2,2.077265642E-2
1.880000000E1,7.550061662E-2,2.050634032E-2,1.890844367E-2
1.890000000E1,4.833637360E-2,8.815063175E-2,1.850896951E-2
1.900000000E1,8.575378678E-2,-6.325007565E-2,1.744370507E-2
1.910000000E1,9.467537639E-2,-3.115898464E-2,1.850896951E-2
1.920000000E1,7.536745856E-2,8.855010591E-2,2.383529167E-2
1.930000000E1,9.361011196E-2,1.247690966E-1,1.917475978E-2
1.940000000E1,1.623196678E-1,6.924218808E-3,2.783003329E-2
1.950000000E1,1.521996557E-1,3.342267155E-2,1.691107286E-2
1.960000000E1,1.691107286E-1,-6.617955284E-2,2.862898161E-2
1.970000000E1,1.101217107E-1,6.604639478E-2,1.877528561E-2
1.980000000E1,1.263669932E-1,1.571265037E-2,2.277002723E-2
1.990000000E1,1.170459295E-1,1.677791480E-2,2.290318529E-2
2.000000000E1,1.010669630E-1,5.233111522E-2,1.344896345E-2
2.010000000E1,1.215733033E-1,4.846953166E-2,3.049319437E-2
2.020000000E1,9.241168948E-2,2.490055610E-2,7.590009078E-3
2.030000000E1,1.050617046E-1,1.034638080E-1,2.383529167E-2
2.040000000E1,1.283643641E-1,-6.804376559E-2,3.502056820E-2
2.050000000E1,5.299690549E-2,1.050617046E-1,1.251685708E-2
2.060000000E1,1.047953885E-1,-6.950850419E-2,2.197107891E-2
2.070000000E1,2.490055610E-2,1.045290724E-1,1.025317016E-2
2.080000000E1,1.299622607E-1,-6.671218505E-2,2.410160777E-2
2.090000000E1,1.001348566E-1,3.528688431E-2,1.810949534E-2
2.100000000E1,1.253017288E-1,3.861583566E-2,2.103897253E-2
2.110000000E1,1.571265037E-1,-4.008057425E-2,2.077265642E-2
2.120000000E1,1.416801695E-1,4.087952258E-2,2.436792388E-2
2.130000000E1,1.245027805E-1,4.993427025E-2,2.423476583E-2
2.140000000E1,1.444764886E-1,1.837581145E-2,2.356897556E-2
2.150000000E1,1.134506620E-1,4.301005144E-2,2.316950140E-2
2.160000000E1,1.147822425E-1,-7.017429446E-2,1.318264735E-2
2.170000000E1,1.091896043E-1,1.085238140E-1,2.050634032E-2
2.180000000E1,1.198422486E-1,6.458165619E-2,2.063949837E-2
2.190000000E1,1.374191117E-1,-7.390271997E-2,1.771002118E-2
2.200000000E1,9.653958915E-2,6.111954679E-2,2.463423999E-2
2.210000000E1,8.482168040E-2,-4.340952560E-2,1.344896345E-2
2.220000000E1,1.390170084E-1,-5.099953468E-2,3.169161685E-2
2.230000000E1,7.922904213E-2,3.462109404E-2,1.877528561E-2
2.240000000E1,1.163801392E-1,1.344896345E-2,2.556634637E-2
2.250000000E1,1.323591057E-1,8.921589618E-3,1.451422789E-2
2.260000000E1,1.187769842E-1,2.969424604E-2,2.543318831E-2
2.270000000E1,1.158475070E-1,2.862898161E-2,2.263686918E-2
2.280000000E1,1.107875009E-1,4.487426420E-2,2.503371415E-2
2.290000000E1,1.174454036E-1,1.518001816E-2,2.063949837E-2
2.300000000E1,1.547296587E-1,-1.451422789E-2,2.516687221E-2
2.310000000E1,1.178448778E-1,7.150587500E-2,2.090581448E-2
2.320000000E1,1.828260081E-1,-4.580637058E-2,3.342267155E-2
2.330000000E1,8.442220624E-2,9.321063780E-3,9.853695996E-3
2.340000000E1,3.834951955E-2,1.330248959E-1,1.344896345E-2
2.350000000E1,1.183775100E-1,-5.566006657E-2,2.103897253E-2
2.360000000E1,9.001484450E-2,7.510114246E-2,2.849582356E-2
2.370000000E1,9.534116666E-2,1.211738291E-1,2.463423999E-2
2.380000000E1,9.973538245E-2,2.143844669E-2,2.436792388E-2
2.390000000E1,1.272990996E-1,-1.597896648E-2,2.490055610E-2
2.400000000E1,1.158475070E-1,1.504686010E-2,2.503371415E-2
2.410000000E1,1.063932851E-1,4.301005144E-2,2.729740107E-2
2.420000000E1,1.511343913E-1,-2.237055307E-2,2.463423999E-2
2.430000000E1,1.243696224E-1,3.901530982E-2,2.263686918E-2
2.440000000E1,8.149272905E-2,1.023985435E-1,1.837581145E-2
2.450000000E1,1.261006771E-1,-3.062635242E-3,2.463423999E-2
2.460000000E1,7.843009381E-2,1.069259174E-1,1.984055005E-2
2.470000000E1,1.398159567E-1,-1.331580540E-3,2.303634334E-2
2.480000000E1,1.033306499E-1,6.591323673E-2,1.904160172E-2
2.490000000E1,9.547432472E-2,3.661846485E-2,1.518001816E-2
2.500000000E1,8.255799348E-3,1.844239048E-1,1.504686010E-2
2.510000000E1,1.334243701E-1,-8.255799348E-2,1.930791783E-2
2.520000000E1,1.057274949E-1,2.862898161E-2,2.556634637E-2
2.530000000E1,1.275654157E-1,3.781688734E-2,2.569950442E-2
2.540000000E1,1.507349171E-1,-5.659217295E-2,3.009372020E-2
2.550000000E1,9.920275023E-2,1.198422486E-3,2.130528864E-2
